ticker,fiscal_date,marketCap,earningsYield,returnOnEquity,priceToBookRatio,netProfitMargin,grossProfitMargin,bookValuePerShare,dividendYield,source,sector,fiscalYear,returnOnInvestedCapital,freeCashFlowYield,available_date,fiscal_year
CHTR,2022-12-31,51764089654.41019,0.09765457161032727,0.5543370983660489,5.676509447791445,0.09357298878234793,0.5462774425234164,59.737415963510635,,yfinance,Communication Services,,,,2023-03-31,2022
CHTR,2023-12-31,56446230340.45698,0.08073169762647266,0.4110589933249143,5.091667900095344,0.08345083963594412,0.5476770377424139,76.33647761443811,,yfinance,Communication Services,,,,2024-03-30,2023
CHTR,2024-12-31,48654975223.31998,0.10447030291701301,0.32610508757297746,3.121509926433565,0.09227557411273486,0.5579740401198149,109.80903379836394,,yfinance,Communication Services,,,,2025-03-31,2024
CHTR,2025-12-31,26434336062.5,0.18865614737623787,0.3106390930609194,1.6465887668182384,0.09104684704421806,0.5653777339613685,126.77725258831626,,yfinance,Communication Services,,,,2026-03-31,2025
CMCSA,2022-12-31,121159044335.48073,0.04432190786459865,0.06634298209851378,1.4968440054789263,0.04422410172366936,0.6853006333023133,19.180263040292676,,yfinance,Communication Services,,,,2023-03-31,2022
CMCSA,2023-12-31,147444072704.524,0.10436499560641785,0.1860633834322818,1.7828140781413493,0.126575198236436,0.6976112920738328,20.786112272975775,,yfinance,Communication Services,,,,2024-03-30,2023
CMCSA,2024-12-31,123745696589.28082,0.1308489947229615,0.18924731182795698,1.4463031391921555,0.1308645367773638,0.7007540551680662,22.588629529344686,,yfinance,Communication Services,,,,2025-03-31,2024
CMCSA,2025-12-31,97322244673.16275,0.20548231359808103,0.20637131977338163,1.0043264364690747,0.16165617143734792,0.7174695045551182,26.886038652125283,,yfinance,Communication Services,,,,2026-03-31,2025
DIS,2021-10-02,319634160000.0,0.006241510607001455,0.022528881009113187,3.609523788013958,0.029591503752706992,0.3305793704945267,56.290748898678416,0.0,fmp,Communication Services,2021,0.02023320562583534,0.006222739146529269,2021-12-31,2021
DIS,2022-10-01,171869260000.0,0.01829879293132466,0.0331024755810037,1.8089977686089591,0.03801890669954788,0.3423635792171369,59.48298572996707,0.0,fmp,Communication Services,2022,0.025529287556003696,0.0062082073315495746,2022-12-30,2022
DIS,2023-09-30,148159400000.0,0.015888293284125072,0.02371143366540085,1.4923839358562405,0.02647978582195325,0.33405700915656145,61.822757111597376,0.0,fmp,Communication Services,2023,0.03560004287157558,0.03305223968239612,2023-12-29,2023
DIS,2024-09-28,175218250000.0,0.028376039596332,0.04937634066894415,1.7400716016524986,0.054421470868313615,0.3575157890128173,57.82027397260274,0.0077959915705127746,fmp,Communication Services,2024,0.05369331247666988,0.04884765142900354,2024-12-27,2024
DIS,2025-09-27,204699880000.0,0.060596029660593846,0.11289808772265152,1.8631268146610962,0.1313635160180037,0.3776436325125761,63.532150776053214,0.008808016887943462,fmp,Communication Services,2025,0.0810742692355034,0.049228167598339576,2025-12-26,2025
EA,2023-03-31,32350202156.0669,0.024791189746849678,0.10996846290963938,4.43578803730521,0.10799892270401293,0.7586856988957716,26.714285714285715,,yfinance,Communication Services,,,,2023-06-29,2023
EA,2024-03-31,34970157258.983826,0.036402467125679475,0.16943963796086783,4.654619627177403,0.16834170854271358,0.7738693467336684,28.204205006331605,,yfinance,Communication Services,,,,2024-06-29,2024
EA,2025-03-31,36274566323.776245,0.03090319509251412,0.17554024428437207,5.680326702752309,0.15020769127696637,0.7932466836392872,25.309632800269505,,yfinance,Communication Services,,,,2025-06-29,2025
EA,2026-03-31,51063960623.47413,0.017370372160130595,0.13113542282672974,7.549373244156436,0.11777984331430089,0.789669366617979,26.979378564875752,,yfinance,Communication Services,,,,2026-06-29,2026
FOXA,2022-06-30,16807138231.475916,0.07169572733942958,0.10627039421465738,1.4822416642980787,0.08623157292113925,,20.59316932510002,,yfinance,Communication Services,,,,2022-09-28,2022
FOXA,2023-06-30,16318565899.220238,0.07592578953639571,0.11938716515706302,1.5724191461958217,0.08308187487427077,,20.8192743967707,,yfinance,Communication Services,,,,2023-09-28,2023
FOXA,2024-06-30,15527137851.494488,0.09666945797454414,0.14009706925518015,1.4492381791575966,0.10736766809728183,,23.225232449210036,,yfinance,Communication Services,,,,2024-09-28,2024
FOXA,2025-06-30,24776409516.874977,0.09133688230567436,0.18918241096806554,2.071259782383797,0.13883435582822085,,26.800441842094607,,yfinance,Communication Services,,,,2025-09-28,2025
GOOGL,2021-12-31,1934182050000.0,0.039310156973072934,0.30215590041131,7.686458759711486,0.2951167728237792,0.5693980290098084,18.844828877405828,0.0,fmp,Communication Services,2021,0.22185323742418103,0.03464616994041486,2022-03-31,2021
GOOGL,2022-12-31,1152548490000.0,0.052034253239965626,0.2341339246673746,4.499611507589481,0.2120380715326196,0.5537944250378312,19.608359488632015,0.0,fmp,Communication Services,2022,0.210850863346025,0.05206722365321046,2023-03-31,2022
GOOGL,2023-12-31,1764284700000.0,0.04182714955245035,0.26041096905557576,6.225883710507836,0.24006649446638517,0.566250479840205,22.43697545526524,0.0,fmp,Communication Services,2023,0.2244156300949283,0.03938990118771647,2024-03-30,2023
GOOGL,2024-12-31,2331986700000.0,0.04293249185340551,0.30797578472025694,7.173489621144074,0.28603671811164,0.5820043540617911,26.388830262196606,0.0031573936506584708,fmp,Communication Services,2024,0.2579896041307089,0.031202579328604232,2025-03-31,2024
GOOGL,2025-12-31,3792308000000.0,0.034852126989685435,0.3182786895115167,9.132260123053953,0.32799537426513103,0.5966503128078756,34.27410036315616,0.0026498375131977676,fmp,Communication Services,2025,0.2182335528841129,0.019319633320922246,2026-03-31,2025
LYV,2022-12-31,16128324573.987602,0.016520004838551237,-0.7248707045479896,-43.878359094449216,0.015972420298857627,0.25979120034980585,-1.5893939359412352,,yfinance,Communication Services,,,,2023-03-31,2022
LYV,2023-12-31,21837174671.20764,0.02550206280734039,-10.647031832520792,-417.49688693638547,0.02450432245576791,0.23917641384655508,-0.22419328479539788,,yfinance,Communication Services,,,,2024-03-30,2023
LYV,2024-12-31,30350103682.5,0.029531595983205913,5.172985576839833,175.1678297299481,0.03870709600798942,0.24938903614132635,0.7392909999492883,,yfinance,Communication Services,,,,2025-03-31,2024
LYV,2025-12-31,33547556055.0,0.014784146993804018,1.8301077093949603,123.78852227064245,0.019680330533939257,0.25546392133835705,1.151156806674274,,yfinance,Communication Services,,,,2026-03-31,2025
META,2021-12-31,946825250000.0001,0.04158106260896612,0.31526517669103693,7.581941319196983,0.3338449405998525,0.8079437627725157,44.361989342806396,0.0,fmp,Communication Services,2021,0.2666676325623049,0.04131279768890827,2022-03-31,2021
META,2022-12-31,323353580000.0,0.07174808455808654,0.18454734196145187,2.5721570561517106,0.19895548371051977,0.7834729737841848,46.78563453665798,0.0,fmp,Communication Services,2022,0.14556705936151187,0.058895281134663795,2023-03-31,2022
META,2023-12-31,911093040000.0,0.042913290172867526,0.25526219575890524,5.948324976496396,0.28982520644616094,0.8075714222176098,59.505827505827504,0.0,fmp,Communication Services,2023,0.19338992531074825,0.048125710629948394,2024-03-30,2023
META,2024-12-31,1483682340000.0,0.0420305602613023,0.34144231453648494,8.123667931470623,0.3790858414234564,0.8166515705071702,72.07458563535911,0.0034185215145177235,fmp,Communication Services,2024,0.25052272614676246,0.03644445885903043,2025-03-31,2024
META,2025-12-31,1664086890000.0,0.03633103557471088,0.2782966539773433,7.660025363302845,0.3008369574952977,0.8199944269179861,86.17334391114638,0.00319935216844356,fmp,Communication Services,2025,0.17950279862720422,0.027708288718024814,2026-03-31,2025
MTCH,2022-12-31,11139192924.710434,0.03249301834041166,-1.0057547759638763,-30.95295012076536,0.11350386331343375,0.6989619746095997,-1.2869898311513686,,yfinance,Communication Services,,,,2023-03-31,2022
